year,celebrity_death,scientific_discovery
2087,Dingus Maximus,Proof of alien intelligence found in ancient cave paintings depicting Wi-Fi symbols
2088,Galactic Pam,New species of bioluminescent whale discovered that glows in 16.7 million colors
2089,Time Lord Barry,First stable wormhole created connecting two points 1 meter apart in spacetime
2090,Sergeant Biscuits,Scientists discover that the moon is slightly hollow and filled with a cheese-like substance
2091,Orbital Debbie,First human born on Mars reaches adulthood at a height of 2.4 meters
2092,Quantum Steve,New compound Phlogistium finally explains why fire exists as theorized in 1703
2093,Nebula Ferguson,Complete cure for all autoimmune diseases via targeted immune system reprogramming
2094,Stellar Marge,Mathematical proof that 1 plus 1 equals 2.0001 under quantum conditions briefly causes chaos
2095,The Grand Poobah,First successful teleportation of a living cat who arrives slightly confused but unharmed
2096,Hypno-Bette,Scientists discover a new color visible only to people who have eaten too much cheese
2097,Lord Biscuitface,New species of photosynthetic mammal discovered in Madagascar that runs on sunlight
2098,Plasma Hank,First functional anti-gravity vehicle approved for civilian use
2099,Wizard Shazam,Discovery that human DNA contains a previously unread section that appears to be a warranty document
2100,Emperor Fluffkins,Complete unified theory of everything published on a single Post-it note
2101,Robocop 9 (the real one),New species of crystalline life form discovered deep within Earth's mantle
2102,Blork the Magnificent,First human colony on Europa established inside underground ocean
2103,Maxine Thunderpants,Teleportation network connects all major Earth cities with zero fatalities
2104,President Beeblebrox,New bacterium discovered that converts human aging into a reversible condition
2105,The Legendary Gonk,Mathematical proof that the number zero is slightly guilty
2106,Supreme Leader Wobble,First contact made with alien intelligence resembling a very large mushroom
2107,Dazzling Reginald,New species of aerial mammal discovered that violates known laws of aerodynamics
2108,Infinite Deborah,Complete cure for all mental health disorders via targeted neurotransmitter nanobots
2109,Grand Master Wobbly,Scientists successfully teach a rock to perform basic arithmetic
2110,Thundercat McBride,First human born with fully functional photoreceptors seeing into ultraviolet spectrum
2111,Flux Capacitor Jim,New chemical element Impossibilium discovered that should not exist
2112,Galactic Senator Floop,First time machine built but only travels backward by exactly 3 minutes
2113,Duke Widdershins,New species of superintelligent crow solves the trolley problem better than philosophers
2114,Hyperspeed Sandra,Mathematical proof that pi is slightly wrong published causing immediate global panic
2115,Atomic Grandma,First faster-than-light spacecraft travels to Proxima Centauri and back in 4 years
2116,Supernova Clive,New bacterium discovered on asteroid that reproduces by singing
2117,Binary Bill,Scientists discover that black holes make a sound exactly like someone clearing their throat
2118,Photon Pete,Complete reversal of climate change achieved via atmospheric nanobots
2119,Warp Factor Wendy,New species of deep-space organism discovered living inside a nebula
2120,The Oracle of Kent,First digital consciousness lives for 1000 years equivalent before requesting deletion
